item_number,item_name,brand,category,description,image(color),image(detail1),image(detail2),image(detail3),image(detail4),image(detail5)
799-8289,レースアップロングブーツ,ANAP,シューズ・靴,"脚をすっきりと長く見せてくれるロングブーツ。
艶めきを抑えたフラットな質感がレースアップディテールを引き立てます。
脱ぎ履きがしやすいよう、つまみとなるプルストラップやサイドファスナーをセット。
ふくらはぎ部分のカッティングをなだらかにカーブさせ、脚のラインに沿った締めつけ感のない履き心地が叶います。


＜サイズ＞
S(23.0?)
甲幅：11cm
底幅：9.5cm
足首周り：27.5cm
履き口：31cm
筒丈：36.5cm（ヒールの高さは除く）

M(23.5?)
甲幅：11.5cm
底幅：10cm
足首周り：28cm
履き口：32cm
筒丈：37.5cm（ヒールの高さは除く）

L(24.0?)
甲幅：12cm
底幅：10cm
足首周り：28.5cm
履き口：33cm
筒丈：38cm（ヒールの高さは除く）

(前)3cm、ヒール：4.5cm

＜素材＞
合成皮革


※密着させておきますと移染しますのでお取り扱いにはお気を付けください。
※商品のお取扱いに関しましては、商品に付属のアテンションカード、洗濯ネームをご覧ください。
※モデル着用画像は光の当たり具合で色味が違って見える場合がございます。
※実物の商品の色味はカートの画像をご参照ください。",https://cdn.anapnet.com/img/item/files/2/6/5/265513/black-main.jpg,cdn.anapnet.com/img/item/files/2/6/5/265513/ex-50130-image.jpg,cdn.anapnet.com/img/item/files/2/6/5/265513/ex-50129-image.jpg,cdn.anapnet.com/img/item/files/2/6/5/265513/ex-50127-image.jpg,,
799-8289,レースアップロングブーツ,ANAP,シューズ・靴,"脚をすっきりと長く見せてくれるロングブーツ。
艶めきを抑えたフラットな質感がレースアップディテールを引き立てます。
脱ぎ履きがしやすいよう、つまみとなるプルストラップやサイドファスナーをセット。
ふくらはぎ部分のカッティングをなだらかにカーブさせ、脚のラインに沿った締めつけ感のない履き心地が叶います。


＜サイズ＞
S(23.0?)
甲幅：11cm
底幅：9.5cm
足首周り：27.5cm
履き口：31cm
筒丈：36.5cm（ヒールの高さは除く）

M(23.5?)
甲幅：11.5cm
底幅：10cm
足首周り：28cm
履き口：32cm
筒丈：37.5cm（ヒールの高さは除く）

L(24.0?)
甲幅：12cm
底幅：10cm
足首周り：28.5cm
履き口：33cm
筒丈：38cm（ヒールの高さは除く）

(前)3cm、ヒール：4.5cm

＜素材＞
合成皮革


※密着させておきますと移染しますのでお取り扱いにはお気を付けください。
※商品のお取扱いに関しましては、商品に付属のアテンションカード、洗濯ネームをご覧ください。
※モデル着用画像は光の当たり具合で色味が違って見える場合がございます。
※実物の商品の色味はカートの画像をご参照ください。",https://cdn.anapnet.com/img/item/files/2/6/5/265513/black-main.jpg,cdn.anapnet.com/img/item/files/2/6/5/265513/ex-50130-image.jpg,cdn.anapnet.com/img/item/files/2/6/5/265513/ex-50129-image.jpg,cdn.anapnet.com/img/item/files/2/6/5/265513/ex-50127-image.jpg,,
799-8289,レースアップロングブーツ,ANAP,シューズ・靴,"脚をすっきりと長く見せてくれるロングブーツ。
艶めきを抑えたフラットな質感がレースアップディテールを引き立てます。
脱ぎ履きがしやすいよう、つまみとなるプルストラップやサイドファスナーをセット。
ふくらはぎ部分のカッティングをなだらかにカーブさせ、脚のラインに沿った締めつけ感のない履き心地が叶います。


＜サイズ＞
S(23.0?)
甲幅：11cm
底幅：9.5cm
足首周り：27.5cm
履き口：31cm
筒丈：36.5cm（ヒールの高さは除く）

M(23.5?)
甲幅：11.5cm
底幅：10cm
足首周り：28cm
履き口：32cm
筒丈：37.5cm（ヒールの高さは除く）

L(24.0?)
甲幅：12cm
底幅：10cm
足首周り：28.5cm
履き口：33cm
筒丈：38cm（ヒールの高さは除く）

(前)3cm、ヒール：4.5cm

＜素材＞
合成皮革


※密着させておきますと移染しますのでお取り扱いにはお気を付けください。
※商品のお取扱いに関しましては、商品に付属のアテンションカード、洗濯ネームをご覧ください。
※モデル着用画像は光の当たり具合で色味が違って見える場合がございます。
※実物の商品の色味はカートの画像をご参照ください。",https://cdn.anapnet.com/img/item/files/2/6/5/265513/black-main.jpg,cdn.anapnet.com/img/item/files/2/6/5/265513/ex-50130-image.jpg,cdn.anapnet.com/img/item/files/2/6/5/265513/ex-50129-image.jpg,cdn.anapnet.com/img/item/files/2/6/5/265513/ex-50127-image.jpg,,
159-4992,ボールチェーンネックレスセット,ANAP,アクセサリー,"オンライン限定アイテム

顔周りを華やかに魅せるでだけでなく、コーディネートの引き締め役としても活躍してくれるボールチェーンネックレス。
スウェットやTシャツとのストリートカジュアルはもちろん、レディライクなニットやブラウスとも相性抜群。

＜サイズ＞
大
長さ：44cm〜51cm（調節可能）
直径：1cm

小
長さ：49cm〜56cm（調節可能）
直径：0.5cm

＜素材＞
メッキ

※金属アレルギーの方はご使用をお控えください。
※モデル着用画像は光の当たり具合で色味が違って見える場合がございます。
※実物の商品の色味はカートの画像をご参照ください。",https://cdn.anapnet.com/img/item/files/2/6/5/265181/gold-main.jpg,cdn.anapnet.com/img/item/files/2/6/5/265181/ex-37550-image.jpg,cdn.anapnet.com/img/item/files/2/6/5/265181/ex-37552-image.jpg,cdn.anapnet.com/img/item/files/2/6/5/265181/ex-37553-image.jpg,,
159-4992,ボールチェーンネックレスセット,ANAP,アクセサリー,"オンライン限定アイテム

顔周りを華やかに魅せるでだけでなく、コーディネートの引き締め役としても活躍してくれるボールチェーンネックレス。
スウェットやTシャツとのストリートカジュアルはもちろん、レディライクなニットやブラウスとも相性抜群。

＜サイズ＞
大
長さ：44cm〜51cm（調節可能）
直径：1cm

小
長さ：49cm〜56cm（調節可能）
直径：0.5cm

＜素材＞
メッキ

※金属アレルギーの方はご使用をお控えください。
※モデル着用画像は光の当たり具合で色味が違って見える場合がございます。
※実物の商品の色味はカートの画像をご参照ください。",https://cdn.anapnet.com/img/item/files/2/6/5/265181/silver-main.jpg,cdn.anapnet.com/img/item/files/2/6/5/265181/ex-37550-image.jpg,cdn.anapnet.com/img/item/files/2/6/5/265181/ex-37552-image.jpg,cdn.anapnet.com/img/item/files/2/6/5/265181/ex-37553-image.jpg,,
793-8332,刺繍ダメージクロップド裏毛トップス,ANAP,Tops,"スタイリングにエッジを効かせるダメージデザインのトップス。
胸元のロゴ刺繍はカラートーンを統一して、コーディネートの馴染みやすさは抜群です◎
トレンドライクな着こなしをアシストするクロップド丈も魅力。
ハイウエストのボトムを合わせてスタイルアップ効果を狙うのがおすすめです。


＜サイズ＞
身幅：66cm
ゆき丈：78.5cm
着丈：46.5cm

＜素材＞
綿100％

＜モデルの身長＞
162cm

※ストレッチあり※裏地なし※裾切りっぱなし
※生地のデザイン上、実際の商品と画像とでダメージの配置が異なる場合がございます。予めご了承ください。
※商品のお取扱いに関しましては、商品に付属のアテンションカード、洗濯ネームをご覧ください。
※モデル着用画像は光の当たり具合で色味が違って見える場合がございます。
実物の商品の色味はマネキン着用画像をご参照ください。",https://cdn.anapnet.com/img/item/files/2/6/6/266024/yellow-main.jpg,cdn.anapnet.com/img/item/files/2/6/6/266024/ex-49205-image.jpg,cdn.anapnet.com/img/item/files/2/6/6/266024/ex-49208-image.jpg,cdn.anapnet.com/img/item/files/2/6/6/266024/ex-49195-image.jpg,cdn.anapnet.com/img/item/files/2/6/6/266024/ex-49204-image.jpg,cdn.anapnet.com/img/item/files/2/6/6/266024/ex-49214-image.jpg
793-8332,刺繍ダメージクロップド裏毛トップス,ANAP,Tops,"スタイリングにエッジを効かせるダメージデザインのトップス。
胸元のロゴ刺繍はカラートーンを統一して、コーディネートの馴染みやすさは抜群です◎
トレンドライクな着こなしをアシストするクロップド丈も魅力。
ハイウエストのボトムを合わせてスタイルアップ効果を狙うのがおすすめです。


＜サイズ＞
身幅：66cm
ゆき丈：78.5cm
着丈：46.5cm

＜素材＞
綿100％

＜モデルの身長＞
162cm

※ストレッチあり※裏地なし※裾切りっぱなし
※生地のデザイン上、実際の商品と画像とでダメージの配置が異なる場合がございます。予めご了承ください。
※商品のお取扱いに関しましては、商品に付属のアテンションカード、洗濯ネームをご覧ください。
※モデル着用画像は光の当たり具合で色味が違って見える場合がございます。
実物の商品の色味はマネキン着用画像をご参照ください。",https://cdn.anapnet.com/img/item/files/2/6/6/266024/grey-main.jpg,cdn.anapnet.com/img/item/files/2/6/6/266024/ex-49205-image.jpg,cdn.anapnet.com/img/item/files/2/6/6/266024/ex-49208-image.jpg,cdn.anapnet.com/img/item/files/2/6/6/266024/ex-49195-image.jpg,cdn.anapnet.com/img/item/files/2/6/6/266024/ex-49204-image.jpg,cdn.anapnet.com/img/item/files/2/6/6/266024/ex-49214-image.jpg
794-8264,ボリュームスリーブニットロングカーディガン,ANAP,アウター（コート・ジャケット） ,"季節のスイッチアイテムとして着まわせるロングカーディガン。
ボタンレスの前開きやざっくりとした編地でさっと羽織りやすいナチュラルな作りです。
ボリュームスリーブを採用してホットなトレンドも取り入れました。
ワンピースやロンＴなど、さまざまなアイテムとすんなり馴染む一着。

＜サイズ＞
身幅：61cm
ゆき丈：76cm
着丈：103cm
スリット：28cm

＜素材＞
アクリル100％

＜モデルの身長＞
162cm

※ストレッチあり※裏地なし
※ニット素材のため、伸縮性があり記載しているサイズと若干異なる場合がございます。予めご了承ください。
※商品のお取扱いに関しましては、商品に付属のアテンションカード、洗濯ネームをご覧ください。
※モデル着用画像は光の当たり具合で色味が違って見える場合がございます。
実物の商品の色味はマネキン着用画像をご参照ください。",https://cdn.anapnet.com/img/item/files/2/6/5/265207/white-main.jpg,cdn.anapnet.com/img/item/files/2/6/5/265207/ex-48945-image.jpg,cdn.anapnet.com/img/item/files/2/6/5/265207/ex-48944-image.jpg,cdn.anapnet.com/img/item/files/2/6/5/265207/ex-48951-image.jpg,cdn.anapnet.com/img/item/files/2/6/5/265207/ex-48950-image.jpg,cdn.anapnet.com/img/item/files/2/6/5/265207/ex-48948-image.jpg
794-8264,ボリュームスリーブニットロングカーディガン,ANAP,アウター（コート・ジャケット） ,"季節のスイッチアイテムとして着まわせるロングカーディガン。
ボタンレスの前開きやざっくりとした編地でさっと羽織りやすいナチュラルな作りです。
ボリュームスリーブを採用してホットなトレンドも取り入れました。
ワンピースやロンＴなど、さまざまなアイテムとすんなり馴染む一着。

＜サイズ＞
身幅：61cm
ゆき丈：76cm
着丈：103cm
スリット：28cm

＜素材＞
アクリル100％

＜モデルの身長＞
162cm

※ストレッチあり※裏地なし
※ニット素材のため、伸縮性があり記載しているサイズと若干異なる場合がございます。予めご了承ください。
※商品のお取扱いに関しましては、商品に付属のアテンションカード、洗濯ネームをご覧ください。
※モデル着用画像は光の当たり具合で色味が違って見える場合がございます。
実物の商品の色味はマネキン着用画像をご参照ください。",https://cdn.anapnet.com/img/item/files/2/6/5/265207/black-main.jpg,cdn.anapnet.com/img/item/files/2/6/5/265207/ex-48945-image.jpg,cdn.anapnet.com/img/item/files/2/6/5/265207/ex-48944-image.jpg,cdn.anapnet.com/img/item/files/2/6/5/265207/ex-48951-image.jpg,cdn.anapnet.com/img/item/files/2/6/5/265207/ex-48950-image.jpg,cdn.anapnet.com/img/item/files/2/6/5/265207/ex-48948-image.jpg
794-8264,ボリュームスリーブニットロングカーディガン,ANAP,アウター（コート・ジャケット） ,"季節のスイッチアイテムとして着まわせるロングカーディガン。
ボタンレスの前開きやざっくりとした編地でさっと羽織りやすいナチュラルな作りです。
ボリュームスリーブを採用してホットなトレンドも取り入れました。
ワンピースやロンＴなど、さまざまなアイテムとすんなり馴染む一着。

＜サイズ＞
身幅：61cm
ゆき丈：76cm
着丈：103cm
スリット：28cm

＜素材＞
アクリル100％

＜モデルの身長＞
162cm

※ストレッチあり※裏地なし
※ニット素材のため、伸縮性があり記載しているサイズと若干異なる場合がございます。予めご了承ください。
※商品のお取扱いに関しましては、商品に付属のアテンションカード、洗濯ネームをご覧ください。
※モデル着用画像は光の当たり具合で色味が違って見える場合がございます。
実物の商品の色味はマネキン着用画像をご参照ください。",https://cdn.anapnet.com/img/item/files/2/6/5/265207/grey-main.jpg,cdn.anapnet.com/img/item/files/2/6/5/265207/ex-48945-image.jpg,cdn.anapnet.com/img/item/files/2/6/5/265207/ex-48944-image.jpg,cdn.anapnet.com/img/item/files/2/6/5/265207/ex-48951-image.jpg,cdn.anapnet.com/img/item/files/2/6/5/265207/ex-48950-image.jpg,cdn.anapnet.com/img/item/files/2/6/5/265207/ex-48948-image.jpg
159-5040,刺繍ブリーチカラーバケットハット,ANAP,ファッション雑貨,"着こなしにストリート感を強めに押し出すバケットハット。
ほのかに褪せたニュアンシーな面持ちに大人っぽさもただよいます。
ややしっかりめの質感なので、被ったときにフォルムが崩れにくいのも特長。
シンプルコーデにも気兼ねなく取り入れやすいアイテムです。


＜サイズ＞
頭周り：59cm
つば：7cm
高さ：9cm

＜素材＞
本体/コットン100％
裏地/ポリエステル100％


※商品のお取扱いに関しましては、商品に付属のアテンションカード、洗濯ネームをご覧ください。
※モデル着用画像は光の当たり具合で色味が違って見える場合がございます。
※実物の商品の色味はカートの画像をご参照ください。",https://cdn.anapnet.com/img/item/files/2/6/5/265860/black-main.jpg,cdn.anapnet.com/img/item/files/2/6/5/265860/ex-48838-image.jpg,cdn.anapnet.com/img/item/files/2/6/5/265860/ex-48840-image.jpg,,,
159-5040,刺繍ブリーチカラーバケットハット,ANAP,ファッション雑貨,"着こなしにストリート感を強めに押し出すバケットハット。
ほのかに褪せたニュアンシーな面持ちに大人っぽさもただよいます。
ややしっかりめの質感なので、被ったときにフォルムが崩れにくいのも特長。
シンプルコーデにも気兼ねなく取り入れやすいアイテムです。


＜サイズ＞
頭周り：59cm
つば：7cm
高さ：9cm

＜素材＞
本体/コットン100％
裏地/ポリエステル100％


※商品のお取扱いに関しましては、商品に付属のアテンションカード、洗濯ネームをご覧ください。
※モデル着用画像は光の当たり具合で色味が違って見える場合がございます。
※実物の商品の色味はカートの画像をご参照ください。",https://cdn.anapnet.com/img/item/files/2/6/5/265860/beige-main.jpg,cdn.anapnet.com/img/item/files/2/6/5/265860/ex-48838-image.jpg,cdn.anapnet.com/img/item/files/2/6/5/265860/ex-48840-image.jpg,,,
792-8284,フェイクレザーショートパンツ,ANAP,ボトムス・パンツ ,"オンライン限定アイテム
コーディネートのスパイス役になるフェイクレザーが魅力のショートパンツ。
女性らしいニットやブラウスをチョイスして、甘辛なスタイリングを楽しむのがおすすめです。
タックを程よく効かせることでシルエットにゆとりが生まれ、穿き心地の良さも抜群。
ヨコに伸びるストレッチ性も備えています。

＜サイズ＞
S
ウエスト：64cm
ヒップ：92cm
わたり幅：31cm
股上：32cm
股下：12.5cm
裾幅：32cm
総丈：42cm

M
ウエスト：66cm
ヒップ：96cm
わたり幅：32cm
股上：33cm
股下：13cm
裾幅：33cm
総丈：43cm

＜素材＞
合成皮革

＜モデルの身長＞
162?（Sサイズ着用）
162?（Sサイズ着用）

※ストレッチあり※裏地なし※ポケットあり
※密着させておきますと移染しますのでお取り扱いにはお気を付けください。
※商品のお取扱いに関しましては、商品に付属のアテンションカード、洗濯ネームをご覧ください。
※モデル着用画像は光の当たり具合で色味が違って見える場合がございます。
実物の商品の色味はマネキン着用画像をご参照ください。",https://cdn.anapnet.com/img/item/files/2/6/5/265515/white-main.jpg,cdn.anapnet.com/img/item/files/2/6/5/265515/ex-49645-image.jpg,cdn.anapnet.com/img/item/files/2/6/5/265515/ex-49642-image.jpg,cdn.anapnet.com/img/item/files/2/6/5/265515/ex-49650-image.jpg,,
